step,with Clustered Zealots_mean_opinion,with Clustered Zealots_mean_abs_opinion,with Clustered Zealots_non_zealot_variance,with Clustered Zealots_cluster_variance,with Clustered Zealots_negative_count,with Clustered Zealots_negative_mean,with Clustered Zealots_positive_count,with Clustered Zealots_positive_mean,with Clustered Zealots_polarization_index,with Clustered Zealots_identity_1_mean_opinion,with Clustered Zealots_identity_neg1_mean_opinion,with Clustered Zealots_identity_opinion_difference
184,0.0865,0.3998,0.1733,0.0468,216.3,-0.3554,263.7,0.3820,35.9890,0.0636,0.0303,0.0333
185,0.0865,0.3999,0.1734,0.0468,216.2,-0.3556,263.8,0.3820,36.0068,0.0636,0.0303,0.0333
186,0.0866,0.4000,0.1734,0.0468,216.2,-0.3556,263.8,0.3821,36.0250,0.0636,0.0304,0.0332
187,0.0866,0.4000,0.1735,0.0468,216.2,-0.3556,263.8,0.3823,36.0478,0.0636,0.0305,0.0331
188,0.0867,0.4001,0.1735,0.0467,216.2,-0.3556,263.8,0.3824,36.0478,0.0636,0.0306,0.0330
189,0.0867,0.4002,0.1735,0.0467,216.2,-0.3557,263.8,0.3825,36.0534,0.0636,0.0307,0.0329
190,0.0868,0.4003,0.1736,0.0467,216.2,-0.3557,263.8,0.3826,36.0753,0.0636,0.0308,0.0328
191,0.0868,0.4003,0.1736,0.0467,216.1,-0.3559,263.9,0.3826,36.0753,0.0636,0.0309,0.0327
192,0.0869,0.4004,0.1737,0.0467,216.1,-0.3559,263.9,0.3827,36.0908,0.0636,0.0310,0.0327
193,0.0869,0.4005,0.1737,0.0467,216.0,-0.3561,264.0,0.3826,36.1142,0.0636,0.0310,0.0326
194,0.0870,0.4006,0.1738,0.0467,216.0,-0.3561,264.0,0.3827,36.1365,0.0636,0.0312,0.0325
195,0.0871,0.4006,0.1738,0.0467,216.0,-0.3561,264.0,0.3828,36.1365,0.0636,0.0313,0.0324
196,0.0871,0.4007,0.1738,0.0467,216.0,-0.3561,264.0,0.3830,36.1365,0.0636,0.0314,0.0323
