step,with Random Zealots_mean_opinion,with Random Zealots_mean_abs_opinion,with Random Zealots_non_zealot_variance,with Random Zealots_cluster_variance,with Random Zealots_negative_count,with Random Zealots_negative_mean,with Random Zealots_positive_count,with Random Zealots_positive_mean,with Random Zealots_polarization_index,with Random Zealots_identity_1_mean_opinion,with Random Zealots_identity_neg1_mean_opinion,with Random Zealots_identity_opinion_difference
155,0.1470,0.4023,0.1649,0.0484,184.2,-0.3363,295.8,0.3932,33.2036,0.1953,0.0364,0.1589
156,0.1471,0.4024,0.1650,0.0484,184.2,-0.3364,295.8,0.3934,33.2711,0.1954,0.0365,0.1589
157,0.1471,0.4026,0.1651,0.0484,183.9,-0.3370,296.1,0.3932,33.2717,0.1954,0.0366,0.1588
158,0.1472,0.4027,0.1651,0.0484,183.8,-0.3372,296.2,0.3932,33.3327,0.1955,0.0367,0.1587
159,0.1473,0.4028,0.1652,0.0484,183.8,-0.3373,296.2,0.3934,33.3459,0.1955,0.0369,0.1587
160,0.1474,0.4030,0.1653,0.0484,183.8,-0.3373,296.2,0.3936,33.3741,0.1956,0.0370,0.1586
161,0.1475,0.4031,0.1653,0.0484,183.8,-0.3374,296.2,0.3937,33.3801,0.1956,0.0371,0.1585
162,0.1476,0.4032,0.1654,0.0484,183.7,-0.3376,296.3,0.3938,33.3842,0.1956,0.0372,0.1584
163,0.1477,0.4033,0.1655,0.0484,183.7,-0.3376,296.3,0.3940,33.4255,0.1957,0.0373,0.1584
164,0.1478,0.4034,0.1655,0.0484,183.7,-0.3377,296.3,0.3941,33.4295,0.1958,0.0374,0.1584
165,0.1479,0.4036,0.1656,0.0484,183.7,-0.3377,296.3,0.3943,33.4696,0.1959,0.0375,0.1584
166,0.1479,0.4037,0.1657,0.0483,183.7,-0.3377,296.3,0.3945,33.4835,0.1960,0.0376,0.1584
167,0.1480,0.4038,0.1657,0.0483,183.6,-0.3380,296.4,0.3945,33.4920,0.1961,0.0377,0.1584
168,0.1481,0.4039,0.1658,0.0483,183.5,-0.3382,296.5,0.3945,33.5101,0.1961,0.0378,0.1583
169,0.1482,0.4040,0.1659,0.0483,183.5,-0.3382,296.5,0.3947,33.5118,0.1962,0.0379,0.1583
170,0.1483,0.4041,0.1659,0.0483,183.5,-0.3382,296.5,0.3949,33.5634,0.1963,0.0380,0.1583
171,0.1484,0.4043,0.1660,0.0483,183.4,-0.3384,296.6,0.3949,33.5785,0.1963,0.0381,0.1582
172,0.1485,0.4044,0.1660,0.0483,183.4,-0.3384,296.6,0.3951,33.5785,0.1964,0.0382,0.1582
173,0.1486,0.4045,0.1661,0.0483,183.5,-0.3383,296.5,0.3954,33.5559,0.1965,0.0384,0.1581
174,0.1487,0.4046,0.1662,0.0483,183.4,-0.3385,296.6,0.3955,33.5711,0.1965,0.0385,0.1581
175,0.1488,0.4047,0.1662,0.0483,183.3,-0.3387,296.7,0.3955,33.5800,0.1966,0.0386,0.1580
176,0.1489,0.4048,0.1663,0.0483,183.3,-0.3387,296.7,0.3957,33.6104,0.1967,0.0387,0.1580
177,0.1489,0.4049,0.1663,0.0483,183.3,-0.3387,296.7,0.3958,33.6363,0.1967,0.0388,0.1580
178,0.1490,0.4050,0.1664,0.0483,183.2,-0.3390,296.8,0.3958,33.6498,0.1968,0.0389,0.1579
179,0.1491,0.4051,0.1664,0.0483,183.2,-0.3390,296.8,0.3960,33.6637,0.1969,0.0390,0.1579
180,0.1492,0.4052,0.1665,0.0483,183.1,-0.3392,296.9,0.3960,33.6469,0.1969,0.0391,0.1579
181,0.1493,0.4053,0.1665,0.0482,182.9,-0.3395,297.1,0.3959,33.6791,0.1970,0.0391,0.1579
182,0.1494,0.4054,0.1665,0.0482,182.9,-0.3395,297.1,0.3961,33.7080,0.1971,0.0393,0.1578
183,0.1495,0.4055,0.1666,0.0482,182.9,-0.3395,297.1,0.3962,33.6754,0.1972,0.0394,0.1578
184,0.1496,0.4056,0.1666,0.0482,182.9,-0.3395,297.1,0.3964,33.7218,0.1972,0.0395,0.1578
185,0.1496,0.4057,0.1667,0.0482,182.9,-0.3395,297.1,0.3965,33.7305,0.1973,0.0395,0.1577
186,0.1497,0.4058,0.1667,0.0482,182.8,-0.3396,297.2,0.3965,33.7412,0.1974,0.0396,0.1577
187,0.1498,0.4059,0.1667,0.0482,182.7,-0.3398,297.3,0.3965,33.7184,0.1974,0.0397,0.1577
188,0.1499,0.4059,0.1668,0.0482,182.6,-0.3400,297.4,0.3965,33.7221,0.1975,0.0398,0.1577
189,0.1500,0.4060,0.1668,0.0481,182.6,-0.3400,297.4,0.3967,33.7358,0.1976,0.0399,0.1577
190,0.1500,0.4061,0.1669,0.0481,182.6,-0.3400,297.4,0.3968,33.7418,0.1976,0.0400,0.1577
191,0.1501,0.4062,0.1669,0.0481,182.6,-0.3401,297.4,0.3970,33.7418,0.1977,0.0400,0.1577
192,0.1502,0.4063,0.1670,0.0481,182.6,-0.3401,297.4,0.3971,33.7418,0.1978,0.0401,0.1577
193,0.1503,0.4064,0.1670,0.0481,182.5,-0.3403,297.5,0.3971,33.7555,0.1978,0.0402,0.1577
194,0.1504,0.4065,0.1670,0.0481,182.5,-0.3403,297.5,0.3972,33.7555,0.1979,0.0403,0.1576
195,0.1504,0.4066,0.1671,0.0481,182.4,-0.3405,297.6,0.3972,33.7782,0.1980,0.0404,0.1576
196,0.1505,0.4067,0.1671,0.0481,182.4,-0.3405,297.6,0.3974,33.7456,0.1980,0.0405,0.1575
197,0.1506,0.4067,0.1671,0.0481,182.4,-0.3404,297.6,0.3975,33.7456,0.1981,0.0406,0.1575
