step,community_0,community_1,community_2,community_3,community_4,community_5,community_6,community_7,community_8,community_10,community_11,community_12,community_20,community_21,community_23,community_32,community_37,community_38,community_57
105,0.0130,0.0058,0.0146,0.0054,0.0157,0.0034,0.0234,0.0263,0.0234,0.0036,0.0142,0.0147,0.0228,0.0087,0.0171,0.0021,0.0077,0.0050,0.0017
106,0.0130,0.0058,0.0147,0.0054,0.0158,0.0034,0.0236,0.0268,0.0235,0.0037,0.0144,0.0147,0.0231,0.0087,0.0171,0.0022,0.0077,0.0052,0.0017
107,0.0131,0.0059,0.0148,0.0054,0.0158,0.0034,0.0239,0.0273,0.0237,0.0038,0.0146,0.0147,0.0234,0.0087,0.0171,0.0023,0.0078,0.0053,0.0018
108,0.0131,0.0059,0.0150,0.0055,0.0158,0.0035,0.0241,0.0277,0.0239,0.0039,0.0148,0.0147,0.0236,0.0087,0.0171,0.0023,0.0078,0.0055,0.0018
109,0.0131,0.0059,0.0151,0.0055,0.0158,0.0035,0.0244,0.0282,0.0240,0.0040,0.0151,0.0147,0.0239,0.0087,0.0171,0.0024,0.0079,0.0058,0.0019
110,0.0131,0.0059,0.0152,0.0055,0.0159,0.0036,0.0246,0.0286,0.0242,0.0041,0.0153,0.0146,0.0241,0.0087,0.0171,0.0025,0.0079,0.0060,0.0019
111,0.0131,0.0059,0.0153,0.0055,0.0159,0.0036,0.0249,0.0290,0.0243,0.0042,0.0155,0.0146,0.0244,0.0087,0.0171,0.0026,0.0080,0.0062,0.0019
112,0.0131,0.0059,0.0154,0.0056,0.0159,0.0037,0.0251,0.0294,0.0245,0.0043,0.0158,0.0146,0.0246,0.0087,0.0171,0.0027,0.0080,0.0065,0.0020
113,0.0132,0.0059,0.0156,0.0056,0.0159,0.0037,0.0253,0.0298,0.0246,0.0044,0.0160,0.0146,0.0248,0.0087,0.0171,0.0027,0.0081,0.0067,0.0020
114,0.0132,0.0060,0.0157,0.0056,0.0159,0.0038,0.0256,0.0302,0.0248,0.0045,0.0162,0.0146,0.0250,0.0087,0.0171,0.0028,0.0081,0.0070,0.0021
115,0.0132,0.0060,0.0158,0.0056,0.0160,0.0038,0.0258,0.0306,0.0249,0.0046,0.0164,0.0146,0.0252,0.0087,0.0171,0.0029,0.0082,0.0073,0.0021
116,0.0132,0.0060,0.0159,0.0056,0.0160,0.0039,0.0260,0.0310,0.0251,0.0047,0.0167,0.0146,0.0254,0.0087,0.0171,0.0030,0.0082,0.0075,0.0022
117,0.0132,0.0060,0.0160,0.0057,0.0160,0.0039,0.0262,0.0313,0.0252,0.0048,0.0169,0.0146,0.0256,0.0087,0.0171,0.0031,0.0083,0.0079,0.0022
118,0.0133,0.0060,0.0161,0.0057,0.0160,0.0040,0.0265,0.0316,0.0254,0.0049,0.0171,0.0146,0.0257,0.0087,0.0171,0.0032,0.0083,0.0082,0.0022
119,0.0133,0.0060,0.0162,0.0057,0.0160,0.0040,0.0267,0.0320,0.0255,0.0051,0.0173,0.0145,0.0259,0.0087,0.0171,0.0032,0.0084,0.0085,0.0023
120,0.0133,0.0060,0.0163,0.0057,0.0161,0.0041,0.0269,0.0323,0.0256,0.0052,0.0175,0.0145,0.0261,0.0087,0.0171,0.0033,0.0084,0.0088,0.0023
121,0.0133,0.0060,0.0164,0.0057,0.0161,0.0041,0.0271,0.0326,0.0257,0.0053,0.0177,0.0145,0.0262,0.0087,0.0171,0.0034,0.0084,0.0092,0.0024
122,0.0133,0.0061,0.0165,0.0058,0.0161,0.0042,0.0273,0.0329,0.0259,0.0054,0.0179,0.0145,0.0263,0.0087,0.0171,0.0035,0.0085,0.0096,0.0024
123,0.0133,0.0061,0.0166,0.0058,0.0161,0.0042,0.0275,0.0331,0.0260,0.0055,0.0182,0.0145,0.0265,0.0087,0.0171,0.0036,0.0085,0.0099,0.0025
124,0.0134,0.0061,0.0167,0.0058,0.0161,0.0043,0.0276,0.0334,0.0261,0.0056,0.0184,0.0145,0.0266,0.0087,0.0171,0.0036,0.0086,0.0103,0.0025
125,0.0134,0.0061,0.0168,0.0058,0.0161,0.0043,0.0278,0.0336,0.0262,0.0057,0.0186,0.0145,0.0267,0.0087,0.0171,0.0037,0.0086,0.0107,0.0026
126,0.0134,0.0061,0.0169,0.0058,0.0161,0.0044,0.0280,0.0339,0.0263,0.0058,0.0188,0.0145,0.0268,0.0087,0.0171,0.0038,0.0087,0.0112,0.0026
127,0.0134,0.0061,0.0170,0.0058,0.0161,0.0045,0.0282,0.0341,0.0264,0.0059,0.0190,0.0145,0.0269,0.0087,0.0171,0.0039,0.0087,0.0116,0.0026
128,0.0134,0.0061,0.0171,0.0059,0.0162,0.0045,0.0284,0.0343,0.0266,0.0060,0.0192,0.0145,0.0270,0.0087,0.0171,0.0040,0.0088,0.0120,0.0027
129,0.0134,0.0061,0.0172,0.0059,0.0162,0.0046,0.0285,0.0345,0.0267,0.0061,0.0194,0.0145,0.0271,0.0087,0.0171,0.0040,0.0088,0.0125,0.0027
130,0.0134,0.0062,0.0173,0.0059,0.0162,0.0046,0.0287,0.0347,0.0268,0.0063,0.0196,0.0145,0.0272,0.0087,0.0171,0.0041,0.0089,0.0129,0.0028
131,0.0135,0.0062,0.0174,0.0059,0.0162,0.0047,0.0289,0.0349,0.0269,0.0064,0.0198,0.0144,0.0273,0.0087,0.0171,0.0042,0.0089,0.0134,0.0028
132,0.0135,0.0062,0.0175,0.0059,0.0162,0.0048,0.0290,0.0351,0.0270,0.0065,0.0199,0.0144,0.0273,0.0087,0.0171,0.0043,0.0090,0.0139,0.0029
133,0.0135,0.0062,0.0176,0.0059,0.0162,0.0048,0.0292,0.0353,0.0271,0.0066,0.0201,0.0144,0.0274,0.0087,0.0171,0.0043,0.0090,0.0143,0.0029
134,0.0135,0.0062,0.0177,0.0060,0.0162,0.0049,0.0293,0.0354,0.0272,0.0067,0.0203,0.0144,0.0275,0.0087,0.0171,0.0044,0.0090,0.0148,0.0029
135,0.0135,0.0062,0.0178,0.0060,0.0162,0.0049,0.0295,0.0356,0.0273,0.0068,0.0205,0.0144,0.0276,0.0087,0.0171,0.0045,0.0091,0.0153,0.0030
136,0.0135,0.0062,0.0178,0.0060,0.0162,0.0050,0.0296,0.0357,0.0274,0.0069,0.0207,0.0144,0.0276,0.0087,0.0171,0.0045,0.0091,0.0158,0.0030
137,0.0135,0.0062,0.0179,0.0060,0.0162,0.0051,0.0298,0.0359,0.0274,0.0070,0.0208,0.0144,0.0277,0.0087,0.0171,0.0046,0.0092,0.0163,0.0031
138,0.0135,0.0062,0.0180,0.0060,0.0162,0.0051,0.0299,0.0360,0.0275,0.0071,0.0210,0.0144,0.0277,0.0087,0.0171,0.0047,0.0092,0.0168,0.0031
